[INF] Relay controller initialized with 2 relay(s)

--- WELDED ---
WELDED tick= 0 | ctrl=NORMAL | Relay_NO_1 fb=OPEN fault=NONE | Relay_NC_1 fb=CLOSED fault=NONE
WELDED tick= 1 | ctrl=NORMAL | Relay_NO_1 fb=OPEN fault=NONE | Relay_NC_1 fb=OPEN fault=NONE
WELDED tick= 2 | ctrl=NORMAL | Relay_NO_1 fb=OPEN fault=NONE | Relay_NC_1 fb=OPEN fault=NONE
WELDED tick= 3 | ctrl=NORMAL | Relay_NO_1 fb=OPEN fault=NONE | Relay_NC_1 fb=OPEN fault=NONE
WELDED tick= 4 | ctrl=NORMAL | Relay_NO_1 fb=OPEN fault=NONE | Relay_NC_1 fb=OPEN fault=NONE
WELDED tick= 5 | ctrl=NORMAL | Relay_NO_1 fb=OPEN fault=NONE | Relay_NC_1 fb=OPEN fault=NONE
WELDED tick= 6 | ctrl=NORMAL | Relay_NO_1 fb=CLOSED fault=NONE | Relay_NC_1 fb=CLOSED fault=NONE
WELDED tick= 7 | ctrl=NORMAL | Relay_NO_1 fb=OPEN fault=NONE | Relay_NC_1 fb=OPEN fault=NONE
WELDED tick= 8 | ctrl=NORMAL | Relay_NO_1 fb=CLOSED fault=NONE | Relay_NC_1 fb=CLOSED fault=NONE
WELDED tick= 9 | ctrl=NORMAL | Relay_NO_1 fb=CLOSED fault=NONE | Relay_NC_1 fb=CLOSED fault=NONE
WELDED tick=10 | ctrl=NORMAL | Relay_NO_1 fb=CLOSED fault=NONE | Relay_NC_1 fb=CLOSED fault=NONE
WELDED tick=11 | ctrl=NORMAL | Relay_NO_1 fb=CLOSED fault=NONE | Relay_NC_1 fb=CLOSED fault=NONE
WELDED tick=12 | ctrl=NORMAL | Relay_NO_1 fb=CLOSED fault=NONE | Relay_NC_1 fb=CLOSED fault=NONE
WELDED tick=13 | ctrl=NORMAL | Relay_NO_1 fb=CLOSED fault=NONE | Relay_NC_1 fb=CLOSED fault=NONE
WELDED tick=14 | ctrl=NORMAL | Relay_NO_1 fb=CLOSED fault=NONE | Relay_NC_1 fb=CLOSED fault=NONE
WELDED tick=15 | ctrl=NORMAL | Relay_NO_1 fb=CLOSED fault=NONE | Relay_NC_1 fb=CLOSED fault=NONE
WELDED tick=16 | ctrl=NORMAL | Relay_NO_1 fb=CLOSED fault=NONE | Relay_NC_1 fb=CLOSED fault=NONE
WELDED tick=17 | ctrl=NORMAL | Relay_NO_1 fb=CLOSED fault=NONE | Relay_NC_1 fb=CLOSED fault=NONE
WELDED tick=18 | ctrl=NORMAL | Relay_NO_1 fb=CLOSED fault=NONE | Relay_NC_1 fb=CLOSED fault=NONE
WELDED tick=19 | ctrl=NORMAL | Relay_NO_1 fb=CLOSED fault=NONE | Relay_NC_1 fb=CLOSED fault=NONE
WELDED tick=20 | ctrl=NORMAL | Relay_NO_1 fb=CLOSED fault=NONE | Relay_NC_1 fb=CLOSED fault=NONE
WELDED tick=21 | ctrl=NORMAL | Relay_NO_1 fb=CLOSED fault=NONE | Relay_NC_1 fb=CLOSED fault=NONE
WELDED tick=22 | ctrl=NORMAL | Relay_NO_1 fb=CLOSED fault=NONE | Relay_NC_1 fb=CLOSED fault=NONE
